tweet,Politics,Results
"@PropagandaUnto @YouTube YOUR A FUCKING FRAUD YOU STOLE FLAT EARTHER'S $$$ RETURN THE GO-FUND ME $$$ YOU STOLE ...WITH YOUR FRAUDING, PORN BOMBING ASS WE KNOW IT WAS YOU STIRRING UP ALL THAT MESS!!! RETURN THE $$$ YOU KNOW YOUR NOT DOING ANY BALLOON LAUNC",0,1
They gon tell some stories that shit was different wit me...,0,1
Last day of school for students. https://t.co/Z8M6sbyXsb,0,1
Eject from a damaged jet over N. Vietnam! SNOWFLAKES IN JULY: https://t.co/Y5SFsSZ5dE  #thriller #ASMSG #terrorism #IARTG https://t.co/FuZevV8F0E,0,1
BANGTAN IN THOSE BLACK OUTFIT OAUDJRNCCVDX,0,1
"Grill time. Adderall, a can of redbull, and depression",0,1
OH MY GOD,0,1
"@threebusyladies I once had a conversation about knitting & crocheting in Gilead.  Handmaid's wouldn't be allowed knitting needles b/c they could be  weapons, though they might be allowed to crochet since a crochet hook is small and not sharp. However, Ma",0,1
@CynicalMother Oh jeeeez.....why did I open this?  Never heard this song and I ugly cried thinking of my 3 adult children.  ?,0,1
@SaintH3av3n I can see that l0l.,0,1
@republic Why don't you ask Rahul that question? Isn't Republic capable of asking the Gandhis questions?,0,1
"Many want to play in college, but how many want… https://t.co/z3fOd8BuIk",0,1
''Don't go slut shaming.'' https://t.co/bW6DkCBuPo,0,1
"The possessive requires an apostrophe: ""team's oldest player"". Also, the plural possessive in this story from Tuesday is missing an apostrophe as is the headline, i.e. ""premiers' meeting not premiers meeting"": https://t.co/2N5a4E4NmP https://t.co/pwUPd4tcTF",0,1
@Philipchime pheels. I see you,0,1
@HollowPoiint It's very toxic,0,1
@CaitlinSims_ Love u too bby xxx,0,1
We definitely appreciate these kinds words! https://t.co/233mJnShdW),0,1
"If girls investigate all these heist/crimes the way they investigate their relationship, I swear we will have no crime in SA?????",0,1
Once upon a time I wrote an essay on the negative effects of Social Media.  Good times.. https://t.co/BO86uljKVW,0,1
my sisters https://t.co/y5Row5GBRo,0,1
HOODED FIGURES ARE BACK HOLY FUKK OMG THEY ARE THE HOODED PPL WHAT OMG THEORIES NOOOOWWWWWWW @BTS_twt,0,1
Mutawaffer wins well @Goodwood_Races for Sheikh Hamdan. @JimCrowley1978 rides for @cbhills,0,1
But some of y’all are so weird when it comes to relationships. Like what works for one relationship won’t necessarily work for yours and that’s okay.,0,1
"@HeavenGiftsCom @mikethevaper ?Terrific article, Thnx to  @mikethevaper & @HeavenGiftsCom?",0,1
"Maturity comes with experience, not age.",0,1
@Mel_Mendhol HPpy Thursday sweetie,0,1
@Amber02150 @AndreiAndrei63 Hard to maintain...but very elegant vine!,0,1
tired,0,1
One of our best outings everrr!!! I luv it when were complete ? I love ya'll DOLTS + @Kingkarlieee09 & @1020francisA ? *insert @zeicheese :<*   Happy birthday mi bibi @jdc_santos ? https://t.co/XDzQUZXKqs,0,1
OKAY IM SCARED #BTSCOMEBACKSHOW,0,1
Not feeling good this morning ?,0,1
@nickmara goodmorning i love you,0,1
the only thing worse than being catcalled first thing in the AM is being called ugly by a stranger first thing in the AM. It’s like I know but can’t you keep it to yourself today????,0,1
@PhysioNiyi Do u wrap a gift after unwrapping it...,0,1
@OnlineMagazin Oh! The old time great ''snake dance''.,0,1
Why do we eat at chain restaurants when we know full well how bad they are? - https://t.co/BqubgtjFgn #chainrestaurants,0,1
